environment | time (second),combined_concs | totEGFRphos (nanomolar),combined_concs | totGrb_EGFR (nanomolar),combined_concs | totGrb_Shc (nanomolar),combined_concs | totPLCgammaphos (nanomolar),combined_concs | totShc_EGFR (nanomolar),combined_concs | totShcphos (nanomolar),combined_concs | totSOS_EGFR (nanomolar),EGF | EGF (nanomolar),EGF | EGF' (nanomolar/second),G_S | G_S (nanomolar),G_S | G_S' (nanomolar/second),Grb | Grb (nanomolar),Grb | Grb' (nanomolar/second),PLC_gamma | PLC_gamma (nanomolar),PLC_gamma | PLC_gamma' (nanomolar/second),PLC_gamma_P | PLC_gamma_P (nanomolar),PLC_gamma_P | PLC_gamma_P' (nanomolar/second),PLC_gamma_P_I | PLC_gamma_P_I (nanomolar),PLC_gamma_P_I | PLC_gamma_P_I' (nanomolar/second),R | R (nanomolar),R | R' (nanomolar/second),R2 | R2 (nanomolar),R2 | R2' (nanomolar/second),R_G | R_G (nanomolar),R_G | R_G' (nanomolar/second),R_G_S | R_G_S (nanomolar),R_G_S | R_G_S' (nanomolar/second),R_PL | R_PL (nanomolar),R_PL | R_PL' (nanomolar/second),R_PLP | R_PLP (nanomolar),R_PLP | R_PLP' (nanomolar/second),R_Sh | R_Sh (nanomolar),R_Sh | R_Sh' (nanomolar/second),R_Sh_G | R_Sh_G (nanomolar),R_Sh_G | R_Sh_G' (nanomolar/second),R_Sh_G_S | R_Sh_G_S (nanomolar),R_Sh_G_S | R_Sh_G_S' (nanomolar/second),R_ShP | R_ShP (nanomolar),R_ShP | R_ShP' (nanomolar/second),Ra | Ra (nanomolar),Ra | Ra' (nanomolar/second),RP | RP (nanomolar),RP | RP' (nanomolar/second),Sh_G | Sh_G (nanomolar),Sh_G | Sh_G' (nanomolar/second),Sh_G_S | Sh_G_S (nanomolar),Sh_G_S | Sh_G_S' (nanomolar/second),Shc | Shc (nanomolar),Shc | Shc' (nanomolar/second),ShP | ShP (nanomolar),ShP | ShP' (nanomolar/second),SOS | SOS (nanomolar),SOS | SOS' (nanomolar/second),v1 | k1 (second_order_rate_constant),v1 | k1_ (first_order_rate_constant),v1 | v1 (flux),v10 | k10 (second_order_rate_constant),v10 | k10_ (first_order_rate_constant),v10 | v10 (flux),v11 | k11 (first_order_rate_constant),v11 | k11_ (second_order_rate_constant),v11 | v11 (flux),v12 | k12 (first_order_rate_constant),v12 | k12_ (second_order_rate_constant),v12 | v12 (flux),v13 | k13 (second_order_rate_constant),v13 | k13_ (first_order_rate_constant),v13 | v13 (flux),v14 | k14 (first_order_rate_constant),v14 | k14_ (first_order_rate_constant),v14 | v14 (flux),v15 | k15 (first_order_rate_constant),v15 | k15_ (second_order_rate_constant),v15 | v15 (flux),v16 | K16 (nanomolar),v16 | V16 (flux),v16 | v16 (flux),v17 | k17 (second_order_rate_constant),v17 | k17_ (first_order_rate_constant),v17 | v17 (flux),v18 | k18 (first_order_rate_constant),v18 | k18_ (second_order_rate_constant),v18 | v18 (flux),v19 | k19 (second_order_rate_constant),v19 | k19_ (first_order_rate_constant),v19 | v19 (flux),v2 | k2 (second_order_rate_constant),v2 | k2_ (first_order_rate_constant),v2 | v2 (flux),v20 | k20 (first_order_rate_constant),v20 | k20_ (second_order_rate_constant),v20 | v20 (flux),v21 | k21 (second_order_rate_constant),v21 | k21_ (first_order_rate_constant),v21 | v21 (flux),v22 | k22 (second_order_rate_constant),v22 | k22_ (first_order_rate_constant),v22 | v22 (flux),v23 | k23 (first_order_rate_constant),v23 | k23_ (second_order_rate_constant),v23 | v23 (flux),v24 | k24 (second_order_rate_constant),v24 | k24_ (first_order_rate_constant),v24 | v24 (flux),v25 | k25 (first_order_rate_constant),v25 | k25_ (first_order_rate_constant),v25 | v25 (flux),v3 | k3 (first_order_rate_constant),v3 | k3_ (first_order_rate_constant),v3 | v3 (flux),v4 | K4 (nanomolar),v4 | v4 (flux),v4 | V4 (flux),v5 | k5 (second_order_rate_constant),v5 | k5_ (first_order_rate_constant),v5 | v5 (flux),v6 | k6 (first_order_rate_constant),v6 | k6_ (first_order_rate_constant),v6 | v6 (flux),v7 | k7 (first_order_rate_constant),v7 | k7_ (second_order_rate_constant),v7 | v7 (flux),v8 | K8 (nanomolar),v8 | V8 (flux),v8 | v8 (flux),v9 | k9 (second_order_rate_constant),v9 | k9_ (first_order_rate_constant),v9 | v9 (flux)
61,21.0904,4.22487,65.6089,3.78257,2.7024,148.776,1.10617,580.6,0.000481349,1.71184,-0.000757431,14.2999,-0.00780487,0.412507,-0.0373547,3.13087,-0.0130272,100.695,0.110034,0.600094,0.000481349,30.4403,0.0295521,2.6309,0.0223714,0.748448,0.00719859,0.11036,-0.0100619,0.651703,-0.0495904,0.0738004,-0.000157733,0.487796,-0.00102346,0.357722,-0.00307189,1.85688,-0.00434961,17.4288,0.0123507,3.62761,0.00271682,35.3532,-0.0131208,29.4102,-0.00379163,1.15017,-0.00314241,81.3103,0.0286575,1.77181,0.000422368,0.003,0.06,-0.000481349,0.01,0.06,0.00170755,0.03,0.0045,-0.00549104,0.0015,0.0001,3.40838e-05,0.09,0.6,0.331232,6,0.06,0.33139,0.3,0.0009,0.291597,340,1.7,0.32809,0.003,0.1,0.0308801,0.3,0.0009,0.030916,0.01,0.0214,0.000987565,0.01,0.1,-0.00641601,0.12,0.00024,0.0173213,0.003,0.1,-0.0471202,0.03,0.064,-0.0030834,0.1,0.021,0.0180295,0.009,0.0429,0.0132618,1,0.03,0.110034,1,0.01,30.4041,50,30.44,450,0.06,0.2,0.067713,1,0.05,0.0777749,0.3,0.006,0.127365,100,1,0.0303582,0.003,0.05,0.024079
62,21.0263,4.25001,65.5882,3.72421,2.69472,148.779,1.11041,580.601,0.000390383,1.7111,-0.000719472,14.2924,-0.00725774,0.377966,-0.0318715,3.11871,-0.0113278,100.797,0.094807,0.600529,0.000390383,30.4666,0.0231697,2.65275,0.0213262,0.755531,0.00696548,0.101028,-0.00863759,0.605495,-0.04297,0.0736592,-0.000125868,0.486854,-0.000867848,0.354881,-0.00262187,1.85299,-0.0034672,17.4399,0.00994451,3.62999,0.00206157,35.3402,-0.0127971,29.4063,-0.00402761,1.14737,-0.00247088,81.3378,0.0263784,1.77222,0.000403472,0.003,0.06,-0.000390383,0.01,0.06,0.00168064,0.03,0.0045,-0.00528484,0.0015,0.0001,3.37199e-05,0.09,0.6,0.33065,6,0.06,0.330776,0.3,0.0009,0.290166,340,1.7,0.328179,0.003,0.1,0.0307656,0.3,0.0009,0.0305998,0.01,0.0214,0.00103367,0.01,0.1,-0.00516745,0.12,0.00024,0.016967,0.003,0.1,-0.046481,0.03,0.064,-0.00308406,0.1,0.021,0.0179105,0.009,0.0429,0.0133114,1,0.03,0.094807,1,0.01,30.4303,50,30.4587,450,0.06,0.2,0.0621154,1,0.05,0.070753,0.3,0.006,0.113723,100,1,0.0302439,0.003,0.05,0.0230068
63,20.9763,4.27445,65.5683,3.67364,2.68839,148.781,1.11483,580.601,0.000312744,1.7104,-0.000684383,14.2854,-0.00676409,0.348497,-0.0271913,3.10815,-0.00982945,100.885,0.0816028,0.60088,0.000312744,30.487,0.0177668,2.67356,0.0203166,0.762379,0.00673085,0.0930195,-0.00740929,0.565488,-0.0371728,0.0735465,-0.000100298,0.486051,-0.000742816,0.352456,-0.00223781,1.84988,-0.00276578,17.4488,0.00789576,3.63177,0.00151039,35.3276,-0.0124251,29.4022,-0.00419325,1.14518,-0.00192429,81.3631,0.0243893,1.77261,0.0003846,0.003,0.06,-0.000312744,0.01,0.06,0.00164923,0.03,0.0045,-0.00508162,0.0015,0.0001,3.33462e-05,0.09,0.6,0.330186,6,0.06,0.330286,0.3,0.0009,0.289022,340,1.7,0.328262,0.003,0.1,0.030674,0.3,0.0009,0.0303436,0.01,0.0214,0.00107324,0.01,0.1,-0.00410425,0.12,0.00024,0.016667,0.003,0.1,-0.0458424,0.03,0.064,-0.00307372,0.1,0.021,0.0177866,0.009,0.0429,0.013356,1,0.03,0.0816028,1,0.01,30.4507,50,30.4726,450,0.06,0.2,0.0573358,1,0.05,0.0647451,0.3,0.006,0.101918,100,1,0.0301445,0.003,0.05,0.0219658
64,20.9382,4.29813,65.549,3.62989,2.68315,148.783,1.11938,580.601,0.000246732,1.70973,-0.000651667,14.2789,-0.00631651,0.323356,-0.0231971,3.09899,-0.00851327,100.961,0.0701733,0.601158,0.000246732,30.5024,0.0132131,2.69339,0.0193438,0.768992,0.00649608,0.0861523,-0.00635159,0.530904,-0.0321114,0.0734569,-7.97577e-05,0.48536,-0.000642264,0.350386,-0.00191071,1.84741,-0.00220855,17.4558,0.00615803,3.63305,0.00104895,35.3154,-0.012019,29.3979,-0.00429971,1.14349,-0.00147892,81.3866,0.0226389,1.77299,0.00036601,0.003,0.06,-0.000246732,0.01,0.06,0.00161399,0.03,0.0045,-0.00488209,0.0015,0.0001,3.29673e-05,0.09,0.6,0.329817,6,0.06,0.329897,0.3,0.0009,0.288109,340,1.7,0.328338,0.003,0.1,0.0306007,0.3,0.0009,0.0301358,0.01,0.0214,0.00110711,0.01,0.1,-0.00320238,0.12,0.00024,0.0164134,0.003,0.1,-0.045209,0.03,0.064,-0.00305414,0.1,0.021,0.0176589,0.009,0.0429,0.0133955,1,0.03,0.0701733,1,0.01,30.4661,50,30.4825,450,0.06,0.2,0.0532555,1,0.05,0.0596071,0.3,0.006,0.0917185,100,1,0.0300584,0.003,0.05,0.0209578
65,20.9101,4.32101,65.5305,3.59211,2.67881,148.784,1.12399,580.601,0.000190823,1.70909,-0.000620949,14.2728,-0.0059089,0.301908,-0.0197889,3.09107,-0.00736102,101.026,0.0602957,0.601376,0.000190823,30.5137,0.00939286,2.71226,0.0184084,0.775371,0.0062624,0.080267,-0.0054419,0.501047,-0.0277039,0.0733857,-6.32255e-05,0.48476,-0.000561222,0.348618,-0.00163259,1.84543,-0.00176595,17.4612,0.00468998,3.6339,0.000664657,35.3036,-0.0115904,29.3936,-0.00435674,1.1422,-0.00111584,81.4085,0.021086,1.77335,0.000347883,0.003,0.06,-0.000190823,0.01,0.06,0.00157554,0.03,0.0045,-0.00468687,0.0015,0.0001,3.25869e-05,0.09,0.6,0.329525,6,0.06,0.329588,0.3,0.0009,0.287382,340,1.7,0.328409,0.003,0.1,0.0305421,0.3,0.0009,0.0299673,0.01,0.0214,0.00113603,0.01,0.1,-0.0024404,0.12,0.00024,0.016199,0.003,0.1,-0.0445846,0.03,0.064,-0.00302686,0.1,0.021,0.0175289,0.009,0.0429,0.0134304,1,0.03,0.0602957,1,0.01,30.4773,50,30.4892,450,0.06,0.2,0.0497727,1,0.05,0.0552146,0.3,0.006,0.0829185,100,1,0.0299838,0.003,0.05,0.019984
66,20.8904,4.34308,65.5127,3.55952,2.67518,148.785,1.12862,580.602,0.000143663,1.70849,-0.000591946,14.267,-0.00553618,0.283612,-0.0168809,3.08422,-0.00635529,101.082,0.0517711,0.601543,0.000143663,30.5214,0.00620399,2.73022,0.0175108,0.781518,0.00603084,0.0752258,-0.00466033,0.475303,-0.0238747,0.0733293,-4.98963e-05,0.484232,-0.000495664,0.347107,-0.00139647,1.84385,-0.00141432,17.4652,0.00345494,3.6344,0.000346442,35.2922,-0.0111486,29.3892,-0.00437278,1.14123,-0.000819855,81.4289,0.0196976,1.77368,0.000330343,0.003,0.06,-0.000143663,0.01,0.06,0.00153444,0.03,0.0045,-0.00449641,0.0015,0.0001,3.2208e-05,0.09,0.6,0.329295,6,0.06,0.329345,0.3,0.0009,0.286803,340,1.7,0.328476,0.003,0.1,0.0304954,0.3,0.0009,0.0298304,0.01,0.0214,0.00116067,0.01,0.1,-0.0017993,0.12,0.00024,0.0160179,0.003,0.1,-0.0439723,0.03,0.064,-0.00299324,0.1,0.021,0.0173975,0.009,0.0429,0.0134608,1,0.03,0.0517711,1,0.01,30.4851,50,30.4931,450,0.06,0.2,0.0468003,1,0.05,0.0514606,0.3,0.006,0.0753353,100,1,0.0299194,0.003,0.05,0.0190452
67,20.8776,4.36431,65.4957,3.53144,2.67215,148.786,1.13325,580.602,0.000104055,1.70791,-0.000564447,14.2617,-0.00519409,0.268004,-0.0143997,3.07831,-0.00547975,101.13,0.0444236,0.601666,0.000104055,30.5263,0.00355673,2.7473,0.0166507,0.787434,0.00580229,0.0709094,-0.00398946,0.453128,-0.0205547,0.073285,-3.91365e-05,0.483764,-0.000442356,0.345813,-0.00119622,1.84258,-0.00113482,17.4682,0.00242059,3.63461,8.46587e-05,35.2813,-0.0107008,29.3848,-0.00435509,1.14054,-0.000578737,81.4479,0.0184471,1.77401,0.000313472,0.003,0.06,-0.000104055,0.01,0.06,0.00149121,0.03,0.0045,-0.00431109,0.0015,0.0001,3.1833e-05,0.09,0.6,0.329116,6,0.06,0.329155,0.3,0.0009,0.286345,340,1.7,0.328538,0.003,0.1,0.0304583,0.3,0.0009,0.029719,0.01,0.0214,0.0011816,0.01,0.1,-0.00126232,0.12,0.00024,0.015865,0.003,0.1,-0.0433742,0.03,0.064,-0.00295445,0.1,0.021,0.0172657,0.009,0.0429,0.0134872,1,0.03,0.0444236,1,0.01,30.4899,50,30.4947,450,0.06,0.2,0.0442636,1,0.05,0.048253,0.3,0.006,0.0688077,100,1,0.0298638,0.003,0.05,0.0181419
68,20.8707,4.38471,65.4793,3.50727,2.66961,148.787,1.13783,580.602,7.09423e-05,1.70736,-0.000538291,14.2566,-0.00487908,0.254691,-0.0122828,3.07322,-0.00471934,101.171,0.0380976,0.601753,7.09423e-05,30.5287,0.00137269,2.76354,0.0158278,0.793124,0.00557749,0.067215,-0.00341405,0.434045,-0.0176814,0.0732504,-3.04393e-05,0.483344,-0.000398711,0.344704,-0.00102657,1.84156,-0.000912454,17.4701,0.00155856,3.63458,-0.000129064,35.2708,-0.0102527,29.3805,-0.00430994,1.14006,-0.000382603,81.4658,0.0173134,1.77431,0.000297316,0.003,0.06,-7.09423e-05,0.01,0.06,0.0014463,0.03,0.0045,-0.00413119,0.0015,0.0001,3.1464e-05,0.09,0.6,0.328978,6,0.06,0.329009,0.3,0.0009,0.285982,340,1.7,0.328596,0.003,0.1,0.0304288,0.3,0.0009,0.0296282,0.01,0.0214,0.00119936,0.01,0.1,-0.000814749,0.12,0.00024,0.0157359,0.003,0.1,-0.0427924,0.03,0.064,-0.00291152,0.1,0.021,0.0171343,0.009,0.0429,0.01351,1,0.03,0.0380976,1,0.01,30.4924,50,30.4945,450,0.06,0.2,0.0420988,1,0.05,0.0455128,0.3,0.006,0.0631942,100,1,0.0298159,0.003,0.05,0.0172741
69,20.8686,4.40427,65.4637,3.48648,2.66745,148.787,1.14234,580.602,4.34021e-05,1.70683,-0.000513356,14.2519,-0.00458812,0.243335,-0.0104767,3.06884,-0.00406026,101.206,0.0326565,0.60181,4.34021e-05,30.5291,-0.000416343,2.77897,0.0150414,0.79859,0.00535704,0.064054,-0.00292082,0.417635,-0.0151987,0.0732236,-2.34019e-05,0.482964,-0.000362675,0.343751,-0.000882915,1.84074,-0.000735344,17.4713,0.000844086,3.63436,-0.000301995,35.2608,-0.00980872,29.3762,-0.00424267,1.13976,-0.000223434,81.4826,0.0162792,1.7746,0.000281898,0.003,0.06,-4.34021e-05,0.01,0.06,0.00140014,0.03,0.0045,-0.0039569,0.0015,0.0001,3.11023e-05,0.09,0.6,0.328874,6,0.06,0.328897,0.3,0.0009,0.285697,340,1.7,0.32865,0.003,0.1,0.0304056,0.3,0.0009,0.0295539,0.01,0.0214,0.00121441,0.01,0.1,-0.000443744,0.12,0.00024,0.0156268,0.003,0.1,-0.042228,0.03,0.064,-0.00286534,0.1,0.021,0.0170042,0.009,0.0429,0.0135295,1,0.03,0.0326565,1,0.01,30.4928,50,30.4928,450,0.06,0.2,0.0402514,1,0.05,0.0431722,0.3,0.006,0.0583709,100,1,0.0297747,0.003,0.05,0.0164416
70,20.8703,4.42302,65.4487,3.46861,2.66562,148.787,1.14677,580.602,2.06288e-05,1.70633,-0.000489547,14.2475,-0.00431866,0.23365,-0.00893567,3.06507,-0.00349006,101.236,0.0279805,0.601842,2.06288e-05,30.528,-0.00186953,2.79363,0.0142908,0.803839,0.00514146,0.0613499,-0.00249828,0.403534,-0.0130565,0.0732031,-1.77062e-05,0.482617,-0.000332621,0.342931,-0.00076132,1.84007,-0.000594075,17.4719,0.000255622,3.63399,-0.000440381,35.2512,-0.00937229,29.372,-0.00415781,1.13961,-9.47005e-05,81.4984,0.0153305,1.77488,0.000267223,0.003,0.06,-2.06288e-05,0.01,0.06,0.00135309,0.03,0.0045,-0.00378837,0.0015,0.0001,3.07491e-05,0.09,0.6,0.328796,6,0.06,0.328814,0.3,0.0009,0.285474,340,1.7,0.328702,0.003,0.1,0.0303875,0.3,0.0009,0.029493,0.01,0.0214,0.00122713,0.01,0.1,-0.000138125,0.12,0.00024,0.0155347,0.003,0.1,-0.0416819,0.03,0.064,-0.00281669,0.1,0.021,0.0168758,0.009,0.0429,0.0135462,1,0.03,0.0279805,1,0.01,30.4916,50,30.4899,450,0.06,0.2,0.0386749,1,0.05,0.0411731,0.3,0.006,0.0542296,100,1,0.0297392,0.003,0.05,0.0156439
71,20.8753,4.44096,65.4344,3.45326,2.66406,148.787,1.1511,580.602,1.92187e-06,1.70585,-0.00046679,14.2433,-0.00406852,0.225389,-0.00762079,3.06183,-0.00299755,101.262,0.0239651,0.601853,1.92187e-06,30.5255,-0.00303799,2.80756,0.013575,0.808875,0.00493114,0.0590372,-0.00213647,0.391424,-0.0112103,0.0731878,-1.30956e-05,0.482297,-0.000307272,0.342223,-0.000658402,1.83954,-0.000481204,17.4719,-0.000225535,3.63349,-0.000549605,35.242,-0.00894588,29.3679,-0.00405923,1.13956,8.93107e-06,81.5133,0.0144562,1.77514,0.00025328,0.003,0.06,-1.92187e-06,0.01,0.06,0.00130549,0.03,0.0045,-0.00362566,0.0015,0.0001,3.04054e-05,0.09,0.6,0.328741,6,0.06,0.328754,0.3,0.0009,0.285302,340,1.7,0.32875,0.003,0.1,0.0303734,0.3,0.0009,0.0294428,0.01,0.0214,0.00123787,0.01,0.1,0.000111807,0.12,0.00024,0.0154568,0.003,0.1,-0.0411549,0.03,0.064,-0.00276623,0.1,0.021,0.0167498,0.009,0.0429,0.0135605,1,0.03,0.0239651,1,0.01,30.4892,50,30.486,450,0.06,0.2,0.0373295,1,0.05,0.039466,0.3,0.006,0.0506762,100,1,0.0297087,0.003,0.05,0.0148804
72,20.8827,4.4581,65.4208,3.44008,2.66271,148.787,1.15531,580.602,-1.33255e-05,1.7054,-0.000445027,14.2393,-0.00383579,0.218344,-0.00649884,3.05905,-0.00257274,101.285,0.0205192,0.601847,-1.33255e-05,30.522,-0.00396574,2.82079,0.0128928,0.813703,0.00472641,0.0570596,-0.00182677,0.381028,-0.00962088,0.0731766,-9.36398e-06,0.482001,-0.000285626,0.341609,-0.00057127,1.8391,-0.000390853,17.4714,-0.000615551,3.6329,-0.000634303,35.2333,-0.00853136,29.3639,-0.00395017,1.13962,9.18349e-05,81.5273,0.0136468,1.77538,0.000240053,0.003,0.06,1.33255e-05,0.01,0.06,0.00125761,0.03,0.0045,-0.0034688,0.0015,0.0001,3.00719e-05,0.09,0.6,0.328704,6,0.06,0.328713,0.3,0.0009,0.285169,340,1.7,0.328796,0.003,0.1,0.0303627,0.3,0.0009,0.0294014,0.01,0.0214,0.00124693,0.01,0.1,0.000314438,0.12,0.00024,0.0153908,0.003,0.1,-0.0406472,0.03,0.064,-0.00271453,0.1,0.021,0.0166264,0.009,0.0429,0.0135726,1,0.03,0.0205192,1,0.01,30.4857,50,30.4814,450,0.06,0.2,0.0361814,1,0.05,0.0380082,0.3,0.006,0.047629,100,1,0.0296825,0.003,0.05,0.0141504
73,20.8922,4.47449,65.4078,3.42878,2.66155,148.787,1.15941,580.602,-2.56375e-05,1.70496,-0.000424206,14.2356,-0.00361886,0.212337,-0.00554149,3.05667,-0.00220678,101.304,0.0175639,0.601827,-2.56375e-05,30.5176,-0.00469065,2.83336,0.0122433,0.81833,0.00452751,0.0553687,-0.00156176,0.372108,-0.00825389,0.0731688,-6.34887e-06,0.481725,-0.000266901,0.341076,-0.000497463,1.83875,-0.000318376,17.4707,-0.000928365,3.63223,-0.000698419,35.2249,-0.00813003,29.36,-0.00383336,1.13974,0.00015761,81.5406,0.0128949,1.77562,0.000227517,0.003,0.06,2.56375e-05,0.01,0.06,0.00120973,0.03,0.0045,-0.00331777,0.0015,0.0001,2.97489e-05,0.09,0.6,0.328681,6,0.06,0.328688,0.3,0.0009,0.285069,340,1.7,0.328839,0.003,0.1,0.0303546,0.3,0.0009,0.029367,0.01,0.0214,0.00125457,0.01,0.1,0.000477001,0.12,0.00024,0.0153349,0.003,0.1,-0.0401591,0.03,0.064,-0.00266207,0.1,0.021,0.0165062,0.009,0.0429,0.0135829,1,0.03,0.0175639,1,0.01,30.4813,50,30.4761,450,0.06,0.2,0.0352016,1,0.05,0.0367633,0.3,0.006,0.0450172,100,1,0.0296601,0.003,0.05,0.013453
74,20.9033,4.49013,65.3953,3.41908,2.66054,148.787,1.16337,580.602,-3.54655e-05,1.70455,-0.000404287,14.2321,-0.0034163,0.207214,-0.00472456,3.05462,-0.00189187,101.32,0.0150306,0.601796,-3.54655e-05,30.5127,-0.00524516,2.84529,0.0116252,0.82276,0.00433461,0.0539233,-0.00133507,0.364456,-0.00707913,0.0731637,-3.91694e-06,0.481467,-0.000250489,0.34061,-0.000434888,1.83846,-0.000260104,17.4696,-0.00117597,3.63151,-0.000745337,35.217,-0.00774277,29.3562,-0.00371108,1.13993,0.000209224,81.5531,0.012194,1.77584,0.000215645,0.003,0.06,3.54655e-05,0.01,0.06,0.00116206,0.03,0.0045,-0.00317254,0.0015,0.0001,2.94367e-05,0.09,0.6,0.328671,6,0.06,0.328674,0.3,0.0009,0.284994,340,1.7,0.32888,0.003,0.1,0.0303488,0.3,0.0009,0.0293383,0.01,0.0214,0.00126101,0.01,0.1,0.000605717,0.12,0.00024,0.0152875,0.003,0.1,-0.0396903,0.03,0.064,-0.00260928,0.1,0.021,0.0163892,0.009,0.0429,0.0135916,1,0.03,0.0150306,1,0.01,30.4763,50,30.4705,450,0.06,0.2,0.0343654,1,0.05,0.0357005,0.3,0.006,0.0427796,100,1,0.0296408,0.003,0.05,0.0127873
75,20.9155,4.50504,65.3835,3.41077,2.65965,148.787,1.1672,580.602,-4.31976e-05,1.70415,-0.000385232,14.2288,-0.00322686,0.202848,-0.00402743,3.05287,-0.00162115,101.334,0.01286,0.601757,-4.31976e-05,30.5072,-0.005657,2.85662,0.0110373,0.827001,0.00414782,0.0526877,-0.00114119,0.357895,-0.00607026,0.0731608,-1.96036e-06,0.481224,-0.000235921,0.340203,-0.000381772,1.83823,-0.000213141,17.4683,-0.00136865,3.63074,-0.000777945,35.2095,-0.00737011,29.3526,-0.00358522,1.14016,0.000249134,81.565,0.011539,1.77605,0.000204406,0.003,0.06,4.31976e-05,0.01,0.06,0.0011148,0.03,0.0045,-0.00303302,0.0015,0.0001,2.91356e-05,0.09,0.6,0.328669,6,0.06,0.328671,0.3,0.0009,0.284941,340,1.7,0.328918,0.003,0.1,0.0303447,0.3,0.0009,0.0293142,0.01,0.0214,0.00126642,0.01,0.1,0.000705925,0.12,0.00024,0.0152471,0.003,0.1,-0.0392408,0.03,0.064,-0.00255649,0.1,0.021,0.0162758,0.009,0.0429,0.0135989,1,0.03,0.01286,1,0.01,30.4709,50,30.4645,450,0.06,0.2,0.0336517,1,0.05,0.0347929,0.3,0.006,0.0408632,100,1,0.0296243,0.003,0.05,0.0121521
76,20.9286,4.51927,65.3722,3.40364,2.65887,148.786,1.1709,580.602,-4.91668e-05,1.70378,-0.000367008,14.2256,-0.00304945,0.199126,-0.00343253,3.05137,-0.0013886,101.346,0.0110009,0.60171,-4.91668e-05,30.5014,-0.00594989,2.86737,0.0104784,0.831058,0.00396723,0.0516315,-0.000975406,0.352268,-0.00520437,0.0731597,-3.93904e-07,0.480994,-0.000222831,0.339844,-0.000336615,1.83803,-0.000175195,17.4669,-0.00151523,3.62996,-0.000798685,35.2023,-0.00701231,29.3491,-0.00345737,1.14042,0.000279375,81.5762,0.0109253,1.77625,0.00019377,0.003,0.06,4.91668e-05,0.01,0.06,0.00106811,0.03,0.0045,-0.00289912,0.0015,0.0001,2.88455e-05,0.09,0.6,0.328676,6,0.06,0.328676,0.3,0.0009,0.284904,340,1.7,0.328955,0.003,0.1,0.0303421,0.3,0.0009,0.0292939,0.01,0.0214,0.00127098,0.01,0.1,0.000782198,0.12,0.00024,0.0152127,0.003,0.1,-0.0388102,0.03,0.064,-0.00250402,0.1,0.021,0.016166,0.009,0.0429,0.0136051,1,0.03,0.0110009,1,0.01,30.4651,50,30.4584,450,0.06,0.2,0.0330427,1,0.05,0.0340181,0.3,0.006,0.0392225,100,1,0.0296102,0.003,0.05,0.0115465
77,20.9424,4.53283,65.3614,3.39753,2.65818,148.786,1.17446,580.602,-5.36577e-05,1.70342,-0.000349583,14.2227,-0.00288309,0.195954,-0.00292487,3.05008,-0.001189,101.356,0.00940913,0.601659,-5.36577e-05,30.4953,-0.00614397,2.87758,0.00994718,0.834938,0.00379284,0.0507288,-0.000833666,0.347445,-0.00446159,0.0731599,8.53919e-07,0.480778,-0.000210939,0.339527,-0.000298152,1.83787,-0.000144456,17.4653,-0.00162323,3.62915,-0.000809647,35.1954,-0.00666944,29.3457,-0.00332881,1.14071,0.000301639,81.5868,0.0103493,1.77644,0.000183706,0.003,0.06,5.36577e-05,0.01,0.06,0.00102213,0.03,0.0045,-0.00277071,0.0015,0.0001,2.85665e-05,0.09,0.6,0.328688,6,0.06,0.328687,0.3,0.0009,0.284881,340,1.7,0.328989,0.003,0.1,0.0303406,0.3,0.0009,0.0292767,0.01,0.0214,0.00127482,0.01,0.1,0.000838446,0.12,0.00024,0.0151833,0.003,0.1,-0.0383983,0.03,0.064,-0.00245209,0.1,0.021,0.01606,0.009,0.0429,0.0136103,1,0.03,0.00940913,1,0.01,30.459,50,30.4521,450,0.06,0.2,0.0325229,1,0.05,0.0333566,0.3,0.006,0.0378182,100,1,0.0295981,0.003,0.05,0.0109693
78,20.9565,4.54574,65.3512,3.39229,2.65756,148.786,1.17789,580.602,-5.69136e-05,1.70308,-0.000332928,14.2198,-0.00272692,0.193251,-0.00249166,3.04898,-0.00101779,101.365,0.00804663,0.601603,-5.69136e-05,30.4891,-0.00625641,2.88728,0.00944253,0.838646,0.00362466,0.0499573,-0.000712497,0.34331,-0.00382469,0.0731613,1.84054e-06,0.480572,-0.00020003,0.339246,-0.000265317,1.83774,-0.000119486,17.4636,-0.00169909,3.62834,-0.000812594,35.1889,-0.00634139,29.3424,-0.0032006,1.14102,0.000317332,81.5969,0.00980765,1.77661,0.000174183,0.003,0.06,5.69136e-05,0.01,0.06,0.000976988,0.03,0.0045,-0.00264767,0.0015,0.0001,2.82985e-05,0.09,0.6,0.328705,6,0.06,0.328703,0.3,0.0009,0.284868,340,1.7,0.329022,0.003,0.1,0.0303401,0.3,0.0009,0.029262,0.01,0.0214,0.00127805,0.01,0.1,0.000878002,0.12,0.00024,0.0151581,0.003,0.1,-0.0380044,0.03,0.064,-0.00240092,0.1,0.021,0.0159578,0.009,0.0429,0.0136147,1,0.03,0.00804663,1,0.01,30.4528,50,30.4457,450,0.06,0.2,0.0320794,1,0.05,0.0327919,0.3,0.006,0.0366165,100,1,0.0295877,0.003,0.05,0.0104195
