,Time,EGFR,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
0,0,100,0,0,3,0,1200,0,0,1200,0,0,1188,0,120
1,0.1,81.83012321,4.12E-09,0.011683177,2.99979902,0.000101646,1199.998415,0.001433721,4.67E-10,1199.868638,0.072870927,4.25E-06,1228.040862,7.68E-08,79.49051282
2,0.2,67.38205311,1.31E-08,0.019424603,2.999317122,0.000362427,1199.994596,0.005044563,5.88E-09,1199.867661,0.073532356,4.50E-06,1255.002135,3.17E-07,52.67549237
3,0.3,55.78500353,3.19E-08,0.024554232,2.998652336,0.000727027,1199.987015,0.012328091,3.53E-08,1199.867653,0.07353774,4.51E-06,1272.870089,8.19E-07,34.90449274
4,0.4,46.40208986,8.42E-08,0.02795304,2.997869366,0.001158755,1199.974741,0.024246258,1.37E-07,1199.867652,0.073537943,4.51E-06,1284.710509,2.13E-06,23.12833308
5,0.5,38.75906804,2.35E-07,0.030204937,2.997011065,0.001633307,1199.957208,0.041383755,4.02E-07,1199.867652,0.073538381,4.51E-06,1292.556202,5.93E-06,15.32522256
6,0.6,32.49731854,6.18E-07,0.031696879,2.9961058,0.002134598,1199.934091,0.064076168,9.67E-07,1199.86765,0.073539349,4.51E-06,1297.75466,1.60E-05,10.15497424
7,0.7,27.34190256,1.46E-06,0.032685295,2.995172339,0.002651983,1199.905229,0.092494948,2.02E-06,1199.867646,0.073541204,4.51E-06,1301.19898,3.92E-05,6.729329799
8,0.8,23.07942113,3.12E-06,0.033340096,2.994223089,0.003178425,1199.870562,0.126703679,3.81E-06,1199.867641,0.073544406,4.51E-06,1303.480984,8.63E-05,4.459668167
9,0.9,19.54240049,6.05E-06,0.033773866,2.993266242,0.003709278,1199.830101,0.166695369,6.63E-06,1199.867631,0.073549516,4.51E-06,1304.9928,0.000172633,2.955974078
10,1,16.59811265,1.09E-05,0.034061204,2.992307202,0.004241478,1199.7839,0.212417154,1.08E-05,1199.867617,0.073557194,4.51E-06,1305.994221,0.000318363,1.959844978
11,1.1,14.14045779,1.84E-05,0.034251545,2.991349519,0.004773008,1199.732044,0.263786646,1.67E-05,1199.867597,0.073568188,4.51E-06,1306.657342,0.000548635,1.300095064
