,Time,EGF,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
0,0.0,3.4,0.0,0.0,3.0,0.0,1200.0,0.0,0.0,1200.0,0.0,0.0,1.98,0.0,0.02
1,0.1,3.2998639231209435,7.835247678015352e-08,2.357032867429533e-06,2.9999969658229793,5.818647967111434e-07,1199.998849440458,0.0010737501744274203,9.581382210100699e-11,1199.8686378972504,0.07287077878115923,4.246613255201691e-06,1.9800135398857768,2.1155509478779278e-09,0.01998388766737217
2,0.2,3.203361206203276,3.084600866194109e-07,4.711348253445481e-06,2.9999936791597226,1.2361893867048025e-06,1199.9977150162154,0.002204435406958356,4.099058341919942e-10,1199.8676606857423,0.07353239423437717,4.503128817187835e-06,1.9800272292505805,1.146277858760271e-08,0.019967811249467927
3,0.3,3.110354291221636,6.867023492661304e-07,7.063727398698616e-06,2.99999004980367,1.9590356753797453e-06,1199.996556263262,0.003359150100107502,9.620534719049392e-10,1199.8676528848996,0.0735376725813461,4.506936352354725e-06,1.9800408795104503,2.8869706810932e-08,0.019951767832169006
4,0.4,3.020710998654398,1.2107344538848594e-06,9.414174944766874e-06,2.9999860790722246,2.7501402656018233e-06,1199.9953694652625,0.004541607868711801,1.7752677938772233e-09,1199.867652752831,0.07353775971507169,4.506995554365693e-06,1.980054478716482,5.4273703453654695e-08,0.01993576942219671
5,0.5,2.934304306949155,1.8791830107989822e-06,1.17626969403217e-05,2.9999817682780896,3.6092406857983364e-06,1199.9941509768453,0.00575545136372055,2.876248223306733e-09,1199.8676527432597,0.07353776464340583,4.506999800026946e-06,1.9800680150946217,8.75837294137021e-08,0.0199198278784267
6,0.6,2.8510121419014025,2.6924223038264987e-06,1.4109300824728453e-05,2.9999771187291313,4.536075428988402e-06,1199.9928972225098,0.0070042534047353175,4.295580048945617e-09,1199.8676527263708,0.07353777299515324,4.507000308451148e-06,1.9800814768974995,1.287802310167227e-07,0.01990395496016983
7,0.7,2.77071717542214,3.653644103348272e-06,1.645399542417431e-05,2.9999721317281898,5.53038399160715e-06,1199.9916046955311,0.008291518082753144,6.067952429304856e-09,1199.8676527072653,0.07353778206585072,4.507000415896668e-06,1.9800948521961141,1.7797316041831823e-07,0.019888162477455458
8,0.8,2.6933066332171456,4.770087913817658e-06,1.8796790971145712e-05,2.9999668085728843,6.591906912418285e-06,1199.990269956873,0.00962068184138588,8.232396067911776e-09,1199.8676526541606,0.07353781335396153,4.507004842519841e-06,1.9801081285742377,2.3546618852674956e-07,0.019872462532397734
9,0.9,2.6186721107493023,6.054347041293013e-06,2.1137699157421903e-05,2.9999611505554133,7.720385812340631e-06,1199.9888896341167,0.010995114546558996,1.0832539316875774e-08,1199.8676526130832,0.07353783545904428,4.507008359125499e-06,1.9801212927185186,3.0182646308348196e-07,0.019856867859278593
10,1.0,2.546709397375862,7.5256820142674074e-06,2.347673323408857e-05,2.9999551589623463,8.915563436411175e-06,1199.987460420403,0.012418120542228187,1.3916882586661195e-08,1199.8676525633266,0.0735378624434588,4.507010384374178e-06,1.9801343298984184,3.7795632515753165e-07,0.019841392272788805
