,Time,EGFR,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
0,0.0,100.0,0.0,0.0,3.0,0.0,1200.0,0.0,0.0,1200.0,0.0,0.0,1188.0,0.0,120.0
1,0.1,81.83012320885979,4.1126405139256135e-09,0.011700213707460182,2.999947611987457,3.912682894350585e-05,1199.9988235504686,0.00109451653482694,3.9581407206222805e-10,1199.8686378915083,0.07287079135443757,4.246612560158173e-06,1228.040862087639,7.679438117534707e-08,79.49051282204724
2,0.2,67.38205321559357,1.2643343462077747e-08,0.019453399534387607,2.9998252991165337,0.00013796735242141303,1199.9974824975532,0.0024148117262637703,1.992034942950204e-09,1199.867660957959,0.07353221041512323,4.503088410038278e-06,1255.0021353221184,3.1120357194383305e-07,52.67549251331098
3,0.3,55.785004408569506,2.5805870805465915e-08,0.024590813253236646,2.999657764550181,0.00027546944223348705,1199.9958007606947,0.004067612454852832,5.7278564010355025e-09,1199.8676528809783,0.07353767701895231,4.506944251750568e-06,1272.870088880187,7.09462265191112e-07,34.90449343585324
4,0.4,46.402094640771374,4.515205639665262e-08,0.027994768699659667,2.9994613481901427,0.00043768786954270983,1199.9936917890682,0.006142204884059279,1.3164586251681705e-08,1199.8676527928737,0.07353773582735511,4.506994843017566e-06,1284.7105015242273,1.3071994454846277e-06,23.12834121268291
5,0.5,38.759080740225805,7.510199793911603e-08,0.030250067628123815,2.9992468646320614,0.0006153926028361777,1199.9911039034366,0.00869208294576115,2.651576968319132e-08,1199.8676527781704,0.07353774436190363,4.506997399026737e-06,1292.5561965559602,2.2181307729557782e-06,15.325231579434888
6,0.6,32.49734424862514,1.249592883840208e-07,0.03174426079568943,2.9990214662845727,0.000802478899761488,1199.9880084153249,0.011747139194160525,4.8659875047471747e-08,1199.8676527603984,0.07353775397568604,4.506998142718902e-06,1297.7546907824997,3.702330081931018e-06,10.154955728856697
7,0.7,27.341956252699283,2.110315539938066e-07,0.0327341525330763,2.998789878751693,0.0009949130602964775,1199.9843917545097,0.015321742918595317,8.31272876670613e-08,1199.8676527283862,0.07353777207210717,4.507000081288609e-06,1301.1990502063836,6.242449837991368e-06,6.729292550848988
8,0.8,23.079525473966058,3.585639189503632e-07,0.0333899086533872,2.998555219951054,0.0011900334000319592,1199.9802502526504,0.01942009287711901,1.3406798584742682e-07,1199.8676526901604,0.07353779232345033,4.507002399990814e-06,1303.481112399559,1.0616630254893533e-05,4.459615424344439
9,0.9,19.54257591909259,6.032946885555182e-07,0.03382429450315046,2.9983195429687144,0.0013860869791927496,1199.9755866888854,0.024039762102625584,2.062082309326201e-07,1199.8676526277948,0.0735378267309284,4.507006691681631e-06,1304.9931031533156,1.7960016766156843e-05,2.955826330338046
10,1.0,16.598385164807706,9.925354120156165e-07,0.03411201164214108,2.9980841950121633,0.0015819232709976191,1199.9704080079434,0.02917403959276296,3.0480254778347986e-07,1199.8676525445148,0.07353787242202493,4.50701181651024e-06,1305.9948622884906,2.981024847159143e-05,1.959494374383603
11,1.1,14.14085940206573,1.585758345371826e-06,0.03430255459124045,2.9978500560362487,0.0017767905166127971,1199.9647238052398,0.034813484991661536,4.3558497553231027e-07,1199.8676524327905,0.073537933879818,4.507019279915227e-06,1306.6585505001638,4.813541689959641e-05,1.2993914947143634
12,1.2,12.08455275694783,2.45472066300264e-06,0.03442871759229802,2.997617696606491,0.0019702010030058195,1199.9585453266727,0.04094695513003172,6.047216211088871e-07,1199.8676522874912,0.07353801389834203,4.507028741807215e-06,1307.0982339653215,7.53449819367688e-05,0.8620683623461449
13,1.3,10.360202478227638,3.6831804653625474e-06,0.03451222973696646,2.997387482455225,0.002161841833400076,1199.9518848080725,0.04756228203623591,8.187655098386762e-07,1199.8676521032726,0.07353811537976054,4.50704086934885e-06,1307.3894836599713,0.0001142852472501487,0.5723614422454071
14,1.4,8.911349592835993,5.366275001767689e-06,0.03456748939831915,2.9971596437583914,0.0023515158053927787,1199.9447550393888,0.054646720334974655,1.0846140428490475e-06,1199.8676518734358,0.07353824210808797,4.5070560463923436e-06,1307.5823645601145,0.00016822175776319483,0.38047431421552796
15,1.5,7.691750769558524,7.609630940832519e-06,0.034604038535074176,2.9969343210252113,0.0025391022478338525,1199.9371690778141,0.06218724181510688,1.4094690728614103e-06,1199.8676515918928,0.0735383974190738,4.507074642582338e-06,1307.710042011384,0.0002408110684441782,0.25341805027189596
16,1.6,6.6633734150838215,1.0528273456397139e-05,0.03462820175261336,2.9967115954876107,0.0027245310857669136,1199.9291400595732,0.07017072874714643,1.8007994598171073e-06,1199.867651251815,0.07353858512069121,4.507097184590041e-06,1307.7944828918705,0.00033606432919728696,0.16934103804609343
17,1.7,5.7948262760413565,1.4245393348638468e-05,0.03464417287207912,2.996491509237442,0.0029077656546941106,1199.920681076934,0.07858410027256085,2.266305925739487e-06,1199.8676508463434,0.07353880901654647,4.507124091244007e-06,1307.850234990727,0.00045830490040170175,0.1137701622210941
18,1.8,5.060120245509925,1.8891022743503233e-05,0.03465473434030068,2.996274078551061,0.003088791328823084,1199.911805098513,0.087414394359026,2.8138880352849357e-06,1199.867650368417,0.07353907302447066,4.507155865455071e-06,1307.886929255054,0.0006121219320960092,0.0771221885867632
19,1.9,4.437681128796514,2.4600662087764142e-05,0.03466173438426003,2.9960593027191553,0.0032676079851710776,1199.9025249181084,0.09664882047979308,3.4516131385078184e-06,1199.867649810779,0.07353938117640131,4.507192992698575e-06,1307.9109393811912,0.0008023215625353043,0.05305323137064854
20,2.0,3.909558190629839,3.151389313671904e-05,0.03466640280550691,2.9958471698829503,0.0034442250224502595,1199.89285312249,0.10627479283412916,4.1876871486442136e-06,1199.8676491660847,0.0735397375498562,4.507235971291902e-06,1307.926480154487,0.0010338770954358353,0.0373664260686085
21,2.1,3.460784926379117,3.977300643767443e-05,0.03466956051667444,2.995637660899274,0.003618658062154028,1199.882802071636,0.11627995079429859,5.030427034874579e-06,1199.8676484268574,0.07354014629789801,4.507285312565699e-06,1307.9363362184947,0.0013118792815189756,0.027287166310503166
22,2.2,3.0788605306660553,4.952166633792082e-05,0.0346717581794468,2.995430751890567,0.0037909267719093633,1199.8723838872259,0.12665217086941394,5.988234943557986e-06,1199.867647585551,0.07354061161201375,4.507341527214424e-06,1307.9423442774394,0.0016414876141726037,0.020983567801920337
23,2.3,2.75332670095695,6.090363196072585e-05,0.034673368214838886,2.995226415930244,0.003961053426745275,1199.8616104465323,0.13737957312949692,7.0695738584953685e-06,1199.867646634558,0.07354113771843628,4.507405134565101e-06,1307.9457131609515,0.002027883372521138,0.01724818800312236
24,2.4,2.4754212491632255,7.406154937511203e-05,0.03467464566571774,2.9950246241506617,0.00412906196311792,1199.8504933798752,0.1484505239673299,8.282944737658744e-06,1199.8676455662319,0.07354172886570018,4.507476654736904e-06,1307.9472355988944,0.0024762250143955775,0.015287445451967436
25,2.5,2.2377931682254117,8.913582644440474e-05,0.03467576858617328,2.9948253464717993,0.004294977356619266,1199.8390440703804,0.1598536364910392,9.636865054345156e-06,1199.8676443729091,0.07354238931196196,4.507556609910461e-06,1307.9474288362128,0.0029916063811808715,0.01458180994069515
26,2.6,2.034267808614503,0.00010626359983001595,0.034676864747474126,2.994628552076739,0.0044588252158000935,1199.8272736552426,0.1715777693699729,1.1139848692141773e-05,1199.867643046924,0.07354312331666439,4.507645522637375e-06,1307.9466277033534,0.0035790180968330015,0.014793275830326262
27,2.7,1.859652599783839,0.00012557780015407308,0.034678029342253044,2.9944342097208314,0.004620631517920621,1199.8151930279364,0.18361202469920623,1.2800387132603497e-05,1199.8676415806297,0.07354393512981373,4.507743914232954e-06,1307.9450464231982,0.004243312417122696,0.01570392569848502
28,2.8,1.7095760776691393,0.00014720631954026083,0.034679336681035934,2.9942422879302084,0.004780422439158372,1199.8028128410326,0.19594574524397004,1.462693188931699e-05,1199.8676399664116,0.0735448289835529,4.507852304229857e-06,1307.9428195651346,0.004989171718132683,0.017175230023005403
29,2.9,1.5803546023735204,0.00017127128501172282,0.03468084787694964,2.994052755126754,0.00493822424759826,1199.7901435093754,0.2085685113055165,1.6627878161842077e-05,1199.8676381967016,0.07354580908370292,4.507971208958921e-06,1307.9400290843628,0.00582108078525048,0.0191211823195323
