,Time,EGF,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
0,0.0,34.0,0.0,0.0,3.0,0.0,1200.0,0.0,0.0,1200.0,0.0,0.0,1.98,0.0,0.02
1,0.1,33.0031029321085,7.835475673754467e-08,2.3570328667924066e-06,2.999996965823055,5.81864796508998e-07,1199.9988494404884,0.001073750204950467,9.581382194957095e-11,1199.8686377658344,0.07287087475931613,4.2466055266126565e-06,1.9800135398857295,2.1155795461268816e-09,0.019983887667375386
2,0.2,32.05063607112358,3.088706945149203e-07,4.7113482535140276e-06,2.9999936791597213,1.2361893867049162e-06,1199.997715016215,0.0022044354068732072,4.0990583424421664e-10,1199.8676607341563,0.07353236122363913,4.50312120925342e-06,1.9800272292391636,1.1471366178930174e-08,0.019967811252296755
3,0.3,31.140065955799397,6.944330729344779e-07,7.063727402508772e-06,2.99999004980367,1.9590356754084936e-06,1199.9965562632617,0.0033591501004749972,9.62053472057749e-10,1199.8676529086235,0.07353765651414677,4.506924493270584e-06,1.9800408791962292,2.9077609206112384e-08,0.019951767938481267
4,0.4,30.26902204204064,1.2693068558157057e-06,9.414175007727851e-06,2.9999860790722206,2.7501402662949097e-06,1199.9953694652627,0.004541607869253248,1.7752677918409586e-09,1199.8676527702005,0.07353774880903746,4.506997227711193e-06,1.9800544756009735,5.610472742144135e-08,0.019935770706603233
5,0.5,29.435284822154024,2.150595370664256e-06,1.176269746776637e-05,2.999981768278049,3.609240693214057e-06,1199.9941509768448,0.005755451363978766,2.876248216313503e-09,1199.8676527532623,0.07353775784350655,4.506998527834591e-06,1.9800679972845678,9.696364789231695e-08,0.019919836307950228
6,0.6,28.636775167562412,3.617494732362166e-06,1.4109303719226205e-05,2.999977118728865,4.536075478716924e-06,1199.992897222508,0.0070042534062289726,4.295580039286855e-09,1199.867652729867,0.07353777061576341,4.506999405099175e-06,1.9800814047066486,1.6312143732391249e-07,0.01990399280653734
7,0.7,27.87154470211581,6.2103524653668e-06,1.6454007333764315e-05,2.999972131726906,5.530384234190736e-06,1199.9916046955213,0.008291518091296328,6.067952429657708e-09,1199.867652695612,0.07353778994948713,4.507002595165604e-06,1.980094620782593,2.7810060735388244e-07,0.019888293750271888
8,0.8,27.137767043692374,1.0840289150339383e-05,1.8796830744775293e-05,2.9999668085679554,6.591907851326548e-06,1199.9902699568308,0.009620681879732591,8.232396015868482e-09,1199.8676526597292,0.07353780953772043,4.5070043806050835e-06,1.9801075028497461,4.83249774854321e-07,0.019872840429587584
9,0.9,26.43372978740714,1.8900519248386176e-05,2.1137812627309157e-05,2.9999611505394874,7.72038886387581e-06,1199.9888896339626,0.010995114688565419,1.0832539324975518e-08,1199.8676526147885,0.07353783431026999,4.507007608385273e-06,1.980119805422738,8.437991586879444e-07,0.01985781305888232
10,1.0,25.757827118547713,3.2371682009630003e-05,2.3477019479352483e-05,2.999955158917396,8.91557208870834e-06,1199.9874604199156,0.012418120994960265,1.3916883172513694e-08,1199.867652560536,0.07353786433257642,4.507011263154107e-06,1.98013113416209,1.4547516920237946e-06,0.019843510904722167
11,1.1,25.108552971687754,5.3915241775699994e-05,2.5814562437758846e-05,2.9999488349605814,1.0177205686668507e-05,1199.9859790720175,0.013892940972384306,1.7539092340247347e-08,1199.8676524974558,0.07353789915987584,4.50701536470978e-06,1.9801408919258825,2.446250448884841e-06,0.019830400849303
12,1.2,24.48449466660751,8.695059022968215e-05,2.8150620267391834e-05,2.99994217990257,1.1505042812944388e-05,1199.9844424107177,0.01542275168852378,2.1758303912963397e-08,1199.86765242372,0.07353793990029583,4.507020308263515e-06,1.980148218188798,3.98814763909561e-06,0.01981917337866292
13,1.3,23.884326966406032,0.0001357130103918591,3.048546932164099e-05,2.9999351949391473,1.2898844052260996e-05,1199.9828473182772,0.017010668404409596,2.663945179320709e-08,1199.8676523382055,0.07353798717320889,4.507026015291751e-06,1.9801519233675622,6.2935865604458965e-06,0.019810804644440298
14,1.4,23.306806514457488,0.00020529094295307094,3.281952110335188e-05,2.9999278812109478,1.4358380855949319e-05,1199.9811907372978,0.01865974602610646,3.2253607096612164e-08,1199.8676522398118,0.07353804156866348,4.507032560380856e-06,1.9801504197441664,9.621481640878447e-06,0.019806623022040944
15,1.5,22.75076661859924,0.0003016418922212101,3.515336793270496e-05,2.9999202397797484,1.5883440227654264e-05,1199.9794696690292,0.020372980776054563,3.8678334509384245e-08,1199.8676521270777,0.07353810390707445,4.507040073125337e-06,1.9801416507494263,1.4277834614469601e-05,0.019808378464120643
16,1.6,22.21511234073078,0.00043158826973938583,3.74878365759979e-05,2.9999122715976,1.747383083089443e-05,1199.9776811713896,0.022153312147587877,4.599806412916672e-08,1199.8676519986454,0.07353817492329287,4.507048686102261e-06,1.9801230203256897,2.061593666410187e-05,0.019818312880902633
17,1.7,21.698815890197707,0.0006027927785416438,3.9824050393525646e-05,2.9999039774671687,1.9129390844027498e-05,1199.9758223565839,0.02400362524654058,5.430448039836322e-08,1199.8676518526718,0.07353825566576958,4.507058413600137e-06,1.9800913239638358,2.903541546793134e-05,0.019839229992697115
18,1.8,21.200912297338085,0.0008237151725948472,4.216349974001653e-05,2.9998953579920578,2.08499978099632e-05,1199.9738903882264,0.025926753628227307,6.369692905556292e-08,1199.8676516875655,0.0735383469947255,4.507069477336478e-06,1.9800426831515148,3.9980209719347845e-05,0.01987456283539954
