,Time,RasGDP,GAP,RasGTP,Ras_Raf
41,0.041,19986.548507938453,14998.72818257868,12.176685339244353,0.0029893009779914915
42,0.042,19987.43347908653,14998.811861692555,11.375388235099846,0.002994370917728375
43,0.043,19988.260209785614,14998.890034603166,10.626826312703132,0.0029985048422184702
44,0.044,19989.032534118614,14998.963063614681,9.927527729879387,0.003001766181946949
45,0.045,19989.754043153654,14999.03128832196,9.27424095396327,0.003004214336671651
46,0.046,19990.428070438717,14999.095023792093,8.663947448926937,0.0030059044418457867
47,0.047,19991.05774358362,14999.154565769291,8.093815297446598,0.0030068882190274486
48,0.048,19991.645984871822,14999.210190426755,7.561198340932038,0.003007213990647604
49,0.049,19992.195524208943,14999.262155747767,7.063624611924471,0.003006926892204268
50,0.05,19992.7089005959,14999.310701775215,6.59879511041377,0.003006068894554854
51,0.051,19993.188492017885,14999.356053227104,6.164556529907825,0.003004679303142159
52,0.052,19993.63652323984,14999.398420425696,5.758894390967348,0.0030027948839447703
53,0.053,19994.05507514646,14999.438000094546,5.379924498057158,0.003000450019619073
54,0.054,19994.446081788654,14999.474975098845,5.025895633524348,0.002997676660115768
55,0.055,19994.81135896082,14999.509517177848,4.695163712230351,0.002994504795984041
56,0.056,19995.15260077472,14999.54178652935,4.386194792218754,0.0029909624029215483
57,0.057,19995.47138600278,14999.571932386845,4.097559308514968,0.00298707554721935
58,0.058,19995.769196719757,14999.600094896601,3.8279153081493162,0.002982868692945791
59,0.059,19996.04740793496,14999.626404046565,3.5760177470703365,0.002978364531386997
60,0.06,19996.307314046146,14999.650982167812,3.340694537244251,0.0029735844196013047
61,0.061,19996.550114572383,14999.673942720268,3.1208595997435853,0.0029685481415893155
62,0.062,19996.776938672207,14999.69539244174,2.915490495209078,0.002963274317462943
63,0.063,19996.98883582078,14999.715430574222,2.723636973193906,0.0029577802470888556
64,0.064,19997.186788418458,14999.734150035327,2.5444095347445925,0.002952082119368124
65,0.065,19997.371715662754,14999.751637759266,2.3769759014322576,0.0029461950767828214
66,0.066,19997.544472239468,14999.76797454911,2.2205621764417067,0.0029401331940609398
67,0.067,19997.70586229376,14999.78323646105,2.0744402575810943,0.00293390970864508
68,0.068,19997.85663052027,14999.79749390187,1.9379358447230133,0.0029275368739816324
69,0.069,19997.997478877653,14999.810813232285,1.8104133283940933,0.0029210262361159143
70,0.07,19998.129057759266,14999.823255965737,1.6912838179789567,0.002914388486798899
71,0.071,19998.251978509856,14999.83487990236,1.5799937588286757,0.002907633671681346
72,0.072,19998.366810655054,14999.845738898717,1.4760274725128855,0.002900771143878012
73,0.073,19998.474085788537,14999.855883234788,1.3789036366171177,0.002893809628363615
74,0.074,19998.57430245682,14999.865360062742,1.288170848622656,0.0028867573031022636
75,0.075,19998.66792355583,14999.874213151015,1.2034099734280383,0.002879621756073909
76,0.076,19998.75538497893,14999.882483729563,1.1242263405040842,0.002872410128073569
77,0.077,19998.837090237703,14999.890209951172,1.0502545844475941,0.0028651290240802544
78,0.078,19998.913419660952,14999.897427777983,0.9811503323628232,0.00285778466537408
79,0.079,19998.984726204853,14999.904170589129,0.9165940014495291,0.002850382820047672
80,0.08,19999.051340614013,14999.910469659846,0.8562861169440841,0.0028429288886452817
81,0.081,19999.113571990434,14999.9163542193,0.7999468009488928,0.002835427913517679
82,0.082,19999.1717080775,14999.921851483336,0.7473155212497158,0.002827884583422314
83,0.083,19999.226019249756,14999.92698702329,0.6981474702318725,0.002820303299744559
84,0.084,19999.27675622759,14999.931784547802,0.6522156320699176,0.0028126881386807264
85,0.085,19999.324155242855,14999.936266401683,0.6093061158862865,0.0028050429366175203
86,0.086,19999.368434981396,14999.940453263389,0.5692209107554493,0.0027973712397109346
87,0.087,19999.409801432586,14999.944364612576,0.5317735036067558,0.0027896763840603387
88,0.088,19999.44844611429,14999.948018560694,0.4967904849345102,0.002781961466327863
89,0.089,19999.484547995307,14999.951432032238,0.4641098075512893,0.0027742293755871478
90,0.09,19999.51827478745,14999.954620886243,0.43357961597300276,0.0027664828147340916
91,0.091,19999.549782284208,14999.957599858124,0.4050588496232727,0.0027587242894574378
92,0.092,19999.57921709846,14999.960382813704,0.378414759086114,0.0027509561536603585
93,0.093,19999.606715045113,14999.962982596704,0.35352437100685896,0.002743180582666736
94,0.094,19999.63240408947,14999.965411310794,0.3302718217007945,0.0027353996219937706
95,0.095,19999.656402927933,14999.967680180624,0.3085496375296384,0.0027276151639252836
96,0.096,19999.678822950147,14999.96979974014,0.28825696100950005,0.0027198289799605043
97,0.097,19999.69976810679,14999.971779819964,0.2692996704555494,0.0027120427186240036
98,0.098,19999.7193352643,14999.973629580707,0.25159005849172517,0.002704257911344324
99,0.099,19999.737615388138,14999.975357624297,0.23504576016468814,0.0026964759920579903
100,0.1,19999.754692851035,14999.976971930833,0.21959038151067437,0.0026886982857145707
101,0.101,19999.770647137862,14999.978480017342,0.20515195344504603,0.002680926036551125
102,0.102,19999.785551831003,14999.979888842614,0.1916638512238181,0.0026731603912755987
103,0.103,19999.79947625215,14999.981204963231,0.17906330865278608,0.002665402426241873
104,0.104,19999.8124848075,14999.982434470176,0.16729200954526321,0.002657653136629404
105,0.105,19999.824637756476,14999.983583062145,0.15629539221849942,0.00264991344916391
106,0.106,19999.835991501364,14999.984656073246,0.14602238765474748,0.0026421842269060353
107,0.107,19999.846598484273,14999.985658462949,0.1364255124135903,0.0026344662675507895
108,0.108,19999.856508030203,14999.986594895672,0.12746010515107378,0.0026267603173905263
109,0.109,19999.865765842325,14999.987469693993,0.1190847846088999,0.00261906706293902
110,0.11,19999.87441498962,14999.988286930959,0.11126055419260994,0.0026113871473061817
111,0.111,19999.882495383878,14999.98905038117,0.10395127613182144,0.0026037211615259305
112,0.112,19999.890044537704,14999.98976359251,0.09712298515405562,0.0025960696571081412
113,0.113,19999.89709740461,14999.990429870686,0.0907440329350306,0.0025884331433955903
114,0.114,19999.903686594593,14999.991052299623,0.08478489293765575,0.002580812091132691
115,0.115,19999.90984270271,14999.991633772832,0.07921786318444901,0.0025732069379013536
116,0.116,19999.91559412684,14999.992176975918,0.0740172309978212,0.002565618085107044
117,0.117,19999.920967607526,14999.99268443766,0.06915878422900006,0.0025580459069173846
118,0.118,19999.92598790546,14999.99315849987,0.06462010366650392,0.002550490744914177
119,0.119,19999.930678350887,14999.993601368878,0.06038006507712683,0.002542952917199353
120,0.12,19999.935060603053,14999.99401509309,0.056419057321578515,0.00253543271440562
121,0.121,19999.939154952717,14999.994401591528,0.052718708406902196,0.0025279304047060463
122,0.122,19999.942980368338,14999.994762658136,0.049261843567127934,0.002520446234580008
123,0.123,19999.946554502225,14999.995099962309,0.046032479655279415,0.002512980428915057
124,0.124,19999.949893946567,14999.995415073256,0.04301559349561651,0.0025055331952431818
125,0.125,19999.95301408223,14999.99570944556,0.040197258604779816,0.0024981047212395122
126,0.126,19999.9559294026,14999.995984449846,0.03756435206686283,0.0024906951800827146
127,0.127,19999.95865332774,14999.996241355326,0.035104722861886824,0.00248330472737607
128,0.128,19999.96119849169,14999.99648135681,0.032806931612836696,0.0024759335059063407
129,0.129,19999.963576646893,14999.996705565754,0.030660337213085143,0.0024685816440590583
130,0.13,19999.965798772373,14999.99691502051,0.028654998878828577,0.002461249257609258
131,0.131,19999.967875158705,14999.997110694303,0.026781599143301235,0.0024539364511291907
132,0.132,19999.969815363842,14999.997293491042,0.02503148387930304,0.0024466433172557404
133,0.133,19999.97162838399,14999.997464261545,0.023396507606116397,0.0024393699395191064
134,0.134,19999.973322551316,14999.997623793788,0.021869126075389086,0.002432116390648836
135,0.135,19999.9749057171,14999.997772830278,0.020442230439714017,0.0024248827356061404
136,0.136,19999.97638516482,14999.997912059836,0.019109225981451962,0.002417669030143533
137,0.137,19999.977767727156,14999.99804212864,0.01786392615967654,0.0024104753227419205
138,0.138,19999.97905978273,14999.99816363993,0.016700555538894386,0.0024033016545565184
139,0.139,19999.98026727393,14999.998277155699,0.015613733701646234,0.0023961480597105207
140,0.14,19999.98139578201,14999.998383203787,0.014598407200207053,0.0023890145665389937
141,0.141,19999.982450483356,14999.998482273733,0.013649889174359628,0.002381901196863773
142,0.142,19999.983436254715,14999.998574826754,0.012763764064787148,0.002374807967735574
143,0.143,19999.98435761055,14999.998661289785,0.011935944341537141,0.0023677348903959256
144,0.144,19999.985218803915,14999.998742065045,0.011162579150857265,0.0023606819719473315
145,0.145,19999.986023786874,14999.998817526284,0.010440090193985585,0.0023536492146965624
146,0.146,19999.98677625595,14999.998888023096,0.009765130524721229,0.0023466366169076157
147,0.147,19999.987479672072,14999.998953882772,0.009134566521095082,0.0023396441731308695
148,0.148,19999.988137252436,14999.99901540958,0.008545485267102297,0.0023326718740675568
149,0.149,19999.98875202343,14999.999072889736,0.007995146593390125,0.0023257197074462725
150,0.15,19999.989326789022,14999.9991265884,0.007481011717855926,0.0023187876574986685
151,0.151,19999.98986419149,14999.999176755477,0.007000688276979915,0.002311875705964165
152,0.152,19999.99036667998,14999.99922362257,0.006551958756526976,0.0023049838315694687
153,0.153,19999.99083655553,14999.9992674073,0.006132739752146499,0.0022981120107730692
154,0.154,19999.991275963046,14999.999308312503,0.005741089238537975,0.002291260217631768
155,0.155,19999.99168690302,14999.999346527375,0.005375195926789365,0.002284428423994767
156,0.156,19999.992071252793,14999.999382229447,0.005033360054289902,0.0022776165998544336
157,0.157,19999.99243075456,14999.999415583483,0.004714004216326973,0.0022708247131477057
158,0.158,19999.992767049036,14999.999446744652,0.004415642885564521,0.0022640527303129355
159,0.159,19999.993081655386,14999.999475856615,0.004136900620967354,0.0022573006159563986
160,0.16,19999.993376004924,14999.999503054732,0.0038764814799214886,0.002250568333411106
161,0.161,19999.993651426747,14999.9995284647,0.003633182109674417,0.0022438558444968846
162,0.162,19999.993909165558,14999.999552204223,0.003405875553454844,0.0022371631098159826
163,0.163,19999.994150385322,14999.999574383379,0.00319350796726588,0.002230490088812583
164,0.164,19999.99437616899,14999.999595104578,0.0029950988455210476,0.0022238367397681646
165,0.165,19999.994587534668,14999.9996144641,0.0028097264164286596,0.0022172030200680254
166,0.166,19999.994785426,14999.999632551186,0.0026365363037119667,0.002210588886042405
167,0.167,19999.994970732223,14999.999649449926,0.0024747234096390014,0.0022039942932972167
168,0.168,19999.995144276894,14999.999665238207,0.0023235421154221753,0.0021974191965270467
169,0.169,19999.995306835004,14999.999679989307,0.002182290756643613,0.0021908635497984784
170,0.17,19999.995459127767,14999.999693771439,0.002050316359569581,0.0021843273064630015
171,0.171,19999.99560182875,14999.999706648292,0.0019270091254051582,0.0021778104192573425
172,0.172,19999.99573556939,14999.99971867958,0.001811797351993647,0.002171312840395811
173,0.173,19999.99586093611,14999.999729920759,0.001704150128008829,0.0021648345215205395
174,0.174,19999.99597848093,14999.999740424028,0.0016035676891796972,0.0021583754138772867
175,0.175,19999.99608871507,14999.99975023773,0.001509587191546955,0.002151935468209396
176,0.176,19999.99619212028,14999.999759407421,0.0014217725068130882,0.0021455146349438486
177,0.177,19999.996289143528,14999.999767975365,0.001339718974565157,0.0021391128641038916
178,0.178,19999.996380203982,14999.9997759812,0.0012630471100042976,0.002132730105423568
179,0.179,19999.99646569311,14999.999783461946,0.001191402524201739,0.0021263663083486745
180,0.18,19999.996545975497,14999.999790452071,0.0011244551545043651,0.0021200214220503393
181,0.181,19999.996621393635,14999.99979698397,0.0010618949370824996,0.002113695395503631
182,0.182,19999.99669226515,14999.999803087667,0.0010034343369802459,0.0021073881774408203
183,0.183,19999.9967588893,14999.999808791465,0.0009488024433087869,0.002101099716458816
184,0.184,19999.99682154311,14999.999814121556,0.0008977484784738206,0.002094829960954541
185,0.185,19999.996880487553,14999.999819102613,0.0008500361932413819,0.0020885788592268795
186,0.186,19999.99693596519,14999.999823757575,0.0008054460226179211,0.002082346359436793
187,0.187,19999.99698820281,14999.99982810788,0.0007637726554134439,0.0020761324096512496
188,0.188,19999.99703741285,14999.999832173617,0.0007248238131278637,0.002069936957865059
189,0.189,19999.997083792696,14999.99983597345,0.0006884207964981359,0.0020637599519904
190,0.19,19999.99712752812,14999.99983952494,0.0006543954795943021,0.0020576013399112632
191,0.191,19999.99716879118,14999.999842844354,0.0006225921065464711,0.0020514610694501514
192,0.192,19999.99720774403,14999.999845947024,0.0005928639052401097,0.0020453390884294567
193,0.193,19999.99724453701,14999.999848847161,0.0005650748028640291,0.002039235344639656
194,0.194,19999.997279311327,14999.999851558117,0.0005390970037755365,0.0020331497858830745
195,0.195,19999.99731219863,14999.999854092333,0.000514811339496038,0.0020270823599670197
196,0.196,19999.99734332171,14999.999856461422,0.0004921066959080133,0.002021033014713774
197,0.197,19999.997372795795,14999.999858676272,0.0004708787779323732,0.002015001697982681
198,0.198,19999.997400727825,14999.999860746993,0.00045103081280952915,0.0020089883576568384
199,0.199,19999.997427218506,14999.999862683106,0.00043247165524236,0.0020029929416772213
200,0.2,19999.9974523611,14999.999864493422,0.0004151169187038472,0.001997015398021569
201,0.201,19999.997476243476,14999.999866186252,0.00039888709581756585,0.0019910556747382243
202,0.202,19999.997498947236,14999.999867769302,0.000383708346472744,0.0019851137199312914
203,0.203,19999.997520548775,14999.999869249796,0.00036951153971921533,0.001979189481777656
204,0.204,19999.997541119566,14999.999870634485,0.00035623200973424986,0.0019732829085309755
205,0.205,19999.9975607261,14999.999871929655,0.00034380960439821956,0.0019673939485203382
206,0.206,19999.997579430896,14999.999873141212,0.000332187765545171,0.0019615225501665775
207,0.207,19999.997597291895,14999.999874274634,0.0003213140756404016,0.001955668661971847
208,0.208,19999.997614363703,14999.999875335076,0.0003111391401024632,0.0019498322325395465
209,0.209,19999.997630696907,14999.999876327322,0.0003016172037729235,0.0019440132105626288
210,0.21,19999.997646339096,14999.999877255861,0.00029270522596871416,0.0019382115448400032
211,0.211,19999.997661334564,14999.999878124885,0.00028436313618461484,0.0019324271842714278
212,0.212,19999.997675724695,14999.999878938295,0.0002765535252654435,0.0019266600778626872
213,0.213,19999.99768954828,14999.999879699762,0.00026924131256288164,0.0019209101747311994
214,0.214,19999.997702841338,14999.999880412684,0.000262393925922304,0.0019151774241023
215,0.215,19999.99771563779,14999.999881080263,0.0002559807004597873,0.0019094617753197326
216,0.216,19999.997727969057,14999.99988170547,0.000249973238386945,0.001903763177838664
217,0.217,19999.99773986473,14999.999882291095,0.00024434478138461,0.0018980815812366491
218,0.218,19999.997751352304,14999.999882839733,0.0002390704970231751,0.0018924169352079903
219,0.219,19999.997762457522,14999.999883353816,0.00023412710552338573,0.0018867691895700727
220,0.22,19999.99777320446,14999.999883835617,0.0002294928592070692,0.0018811382942633041
221,0.221,19999.99778361554,14999.999884287245,0.00022514750825455168,0.0018755241993512971
222,0.222,19999.997793711813,14999.999884710698,0.00022107202615013948,0.0018699268550254145
223,0.223,19999.997803512826,14999.999885107809,0.0002172487708961077,0.0018643462116014133
224,0.224,19999.99781303698,14999.999885480318,0.00021366111911871717,0.0018587822195256403
225,0.225,19999.997822301317,14999.99988582983,0.00021029368319259824,0.0018532348293706707
226,0.226,19999.997831321907,14999.999886157866,0.00020713196732725927,0.0018477039918410989
227,0.227,19999.99784011367,14999.999886465826,0.00020416249707248208,0.0018421896577707692
228,0.228,19999.997848690575,14999.999886755026,0.00020137267608749852,0.0018366917781249363
229,0.229,19999.997857065697,14999.999887026705,0.00019875070432450774,0.0018312103040013146
230,0.23,19999.997865251204,14999.999887281998,0.0001962856171112001,0.0018257451866289503
231,0.231,19999.997873258522,14999.999887521995,0.00019396709701573523,0.0018202963773711854
