environment | time (minute),GAP | GAP (dimensionless) | Run #1,GAP | GAP (dimensionless) | Run #2,GAP | GAP' (dimensionless/minute) | Run #1,GAP | GAP' (dimensionless/minute) | Run #2,Ras_GAP | Ras_GAP (dimensionless) | Run #1,Ras_GAP | Ras_GAP (dimensionless) | Run #2,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #1,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #2,Ras_Raf | Ras_Raf (dimensionless) | Run #1,Ras_Raf | Ras_Raf (dimensionless) | Run #2,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #1,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #2,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #1,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #2,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #1,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #2,RasGDP | RasGDP (dimensionless) | Run #1,RasGDP | RasGDP (dimensionless) | Run #2,RasGDP | RasGDP' (dimensionless/minute) | Run #1,RasGDP | RasGDP' (dimensionless/minute) | Run #2,RasGTP | RasGTP (dimensionless) | Run #1,RasGTP | RasGTP (dimensionless) | Run #2,RasGTP | RasGTP' (dimensionless/minute) | Run #1,RasGTP | RasGTP' (dimensionless/minute) | Run #2,ShcGS | ShcGS (dimensionless) | Run #1,ShcGS | ShcGS (dimensionless) | Run #2,ShcGS | ShcGS' (dimensionless/minute) | Run #1,ShcGS | ShcGS' (dimensionless/minute) | Run #2,v12 | k12 (first_order_rate_constant) | Run #1,v12 | k12 (first_order_rate_constant) | Run #2,v12 | kn12 (first_order_rate_constant) | Run #1,v12 | kn12 (first_order_rate_constant) | Run #2,v12 | v12 (first_order_rate_constant) | Run #1,v12 | v12 (first_order_rate_constant) | Run #2,v13 | k_13 (first_order_rate_constant) | Run #1,v13 | k_13 (first_order_rate_constant) | Run #2,v13 | v13 (first_order_rate_constant) | Run #1,v13 | v13 (first_order_rate_constant) | Run #2,v14 | k14 (first_order_rate_constant) | Run #1,v14 | k14 (first_order_rate_constant) | Run #2,v14 | kn14 (first_order_rate_constant) | Run #1,v14 | kn14 (first_order_rate_constant) | Run #2,v14 | v14 (first_order_rate_constant) | Run #1,v14 | v14 (first_order_rate_constant) | Run #2,v15 | k15 (first_order_rate_constant) | Run #1,v15 | k15 (first_order_rate_constant) | Run #2,v15 | v15 (first_order_rate_constant) | Run #1,v15 | v15 (first_order_rate_constant) | Run #2,v16 | k16 (first_order_rate_constant) | Run #1,v16 | k16 (first_order_rate_constant) | Run #2,v16 | kn16 (first_order_rate_constant) | Run #1,v16 | kn16 (first_order_rate_constant) | Run #2,v16 | v16 (first_order_rate_constant) | Run #1,v16 | v16 (first_order_rate_constant) | Run #2
0.01,14989.5,14989.5,714.736,714.736,10.507,10.507,-714.736,-714.736,0.00169544,0.00169544,0.114689,0.114689,0,0,0,0,19889.7,19889.7,7565.01,7565.01,99.8125,99.8125,-6850.39,-6850.39,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,6850.28,6850.28,720,720,7565.01,7565.01,0.0012,0.0012,3,3,0.114689,0.114689
0.011,14990.2,14990.2,670.432,670.432,9.81442,9.81442,-670.432,-670.432,0.00180595,0.00180595,0.106412,0.106412,0,0,0,0,19897,19897,7066.39,7066.39,93.1919,93.1919,-6396.06,-6396.06,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,6395.95,6395.95,720,720,7066.39,7066.39,0.0012,0.0012,3,3,0.106412,0.106412
0.012,14990.8,14990.8,627.421,627.421,9.16565,9.16565,-627.421,-627.421,0.00190845,0.00190845,0.098687,0.098687,0,0,0,0,19903.8,19903.8,6599.27,6599.27,87.0103,87.0103,-5971.95,-5971.95,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,5971.85,5971.85,720,720,6599.27,6599.27,0.0012,0.0012,3,3,0.098687,0.098687
0.013,14991.4,14991.4,586.505,586.505,8.55888,8.55888,-586.505,-586.505,0.00200349,0.00200349,0.0914759,0.0914759,0,0,0,0,19910.2,19910.2,6162.39,6162.39,81.2386,81.2386,-5575.98,-5575.98,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,5575.89,5575.89,720,720,6162.39,6162.39,0.0012,0.0012,3,3,0.0914759,0.0914759
0.014,14992,14992,547.952,547.952,7.99185,7.99185,-547.952,-547.952,0.00209156,0.00209156,0.0847448,0.0847448,0,0,0,0,19916.2,19916.2,5754.13,5754.13,75.8496,75.8496,-5206.26,-5206.26,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,5206.18,5206.18,720,720,5754.13,5754.13,0.0012,0.0012,3,3,0.0847448,0.0847448
0.015,14992.5,14992.5,511.792,511.792,7.46217,7.46217,-511.792,-511.792,0.00217313,0.00217313,0.0784621,0.0784621,0,0,0,0,19921.7,19921.7,5372.76,5372.76,70.8179,70.8179,-4861.05,-4861.05,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,4860.97,4860.97,720,720,5372.76,5372.76,0.0012,0.0012,3,3,0.0784621,0.0784621
0.016,14993,14993,477.952,477.952,6.96749,6.96749,-477.952,-477.952,0.00224863,0.00224863,0.072598,0.072598,0,0,0,0,19926.9,19926.9,5016.59,5016.59,66.1199,66.1199,-4538.71,-4538.71,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,4538.64,4538.64,720,720,5016.59,5016.59,0.0012,0.0012,3,3,0.072598,0.072598
0.017,14993.5,14993.5,446.318,446.318,6.50553,6.50553,-446.318,-446.318,0.00231846,0.00231846,0.0671247,0.0671247,0,0,0,0,19931.8,19931.8,4683.98,4683.98,61.7334,61.7334,-4237.73,-4237.73,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,4237.66,4237.66,720,720,4683.98,4683.98,0.0012,0.0012,3,3,0.0671247,0.0671247
0.018,14993.9,14993.9,416.76,416.76,6.07416,6.07416,-416.76,-416.76,0.002383,0.002383,0.0620163,0.0620163,0,0,0,0,19936.3,19936.3,4373.39,4373.39,57.6378,57.6378,-3956.7,-3956.7,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,3956.63,3956.63,720,720,4373.39,4373.39,0.0012,0.0012,3,3,0.0620163,0.0620163
0.019,14994.3,14994.3,389.15,389.15,5.67136,5.67136,-389.15,-389.15,0.0024426,0.0024426,0.0572487,0.0572487,0,0,0,0,19940.5,19940.5,4083.38,4083.38,53.8138,53.8138,-3694.28,-3694.28,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,3694.23,3694.23,720,720,4083.38,4083.38,0.0012,0.0012,3,3,0.0572487,0.0572487
